Category;Award;Brewery;Country;Beer;Website;Style Origin
BELGIAN-STYLE STRONG DARK ALE;SILVER;Het Anker;Belgium;Gouden Carolus Classic;www.hetanker.be;Belgian
BELGIAN-STYLE STRONG DARK ALE;BRONZE;Brasserie St. Feuillien;Belgium;St-Feuillien Quadruple;www.st-feuillien.com;Belgian
BELGIAN-STYLE DUBBEL;GOLD;Bierbrouwerij De Koningshoeven;Netherlands;La Trappe Dubbel;www.latrappetrappist.com;Belgian
BELGIAN-STYLE DUBBEL;SILVER;Pintalpina;Italy;Rügen;www.pintalpina.it;Belgian
BELGIAN-STYLE DUBBEL;BRONZE;Taxman Brewing Company;USA;Deduction;www.taxmanbrewing.com;Belgian
BELGIAN-STYLE TRIPEL;GOLD;St.Bernardus;Belgium;St.Bernardus Tripel;www.sintbernardus.be;Belgian
BELGIAN-STYLE TRIPEL;SILVER;Bierbrouwerij De Magistraat;Netherlands;Scheepstimmerman;www.magistraat.beer;Belgian
BELGIAN-STYLE TRIPEL;BRONZE;Bierbrouwerij De Koningshoeven;Netherlands;La Trappe Tripel;www.latrappetrappist.com;Belgian
GERMAN-STYLE SOUR BEER;GOLD;Bozner Weisse;Italy;Gosexy;www.batzen.it;Central European
GERMAN-STYLE SOUR BEER;SILVER;Trueman Brewing Company;China;Haihe River Gose;www.truemanbrewing.com;Central European
GERMAN-STYLE SOUR BEER;BRONZE;Birrificio WAR;Italy;Sapore di sale;www.birrificiowar.it;Central European
SOUR AND FRUIT SOUR BEER;GOLD;Brewery VANUXEEM;Belgium;Queue de Charrue Vieille Brune;www.vanuxeem.com;Belgian
SOUR AND FRUIT SOUR BEER;SILVER;Jing-A Brewing;China;Triple Berry Nectar;www.jingabrewing.com;Belgian
SOUR AND FRUIT SOUR BEER;BRONZE;ROYAL SWINKELS;Belgium;RODENBACH Alexander;www.swinkels.com;Belgian
FRUIT BEER;GOLD;POSTWAVE BREWING;China;Postwave Lemon Saison;www.postwave-brewing.com;Belgian
FRUIT BEER;SILVER;Brouwerij Boon;Belgium;Framboise Boon;www.boon.be;Belgian
FRUIT BEER;BRONZE;E.C. Dahls Bryggeri;Norway;Peach & Raspberry Beerlini;www.ecdahls.no;Belgian
WOOD- AND BARREL-AGED SOUR BEER;GOLD;Cerveza 7 VIDAS;Peru;7 VIDAS - FLANDERS RED;www.cerveza7vidas.com;Belgian
WOOD- AND BARREL-AGED SOUR BEER;SILVER;NBeer Craft Brewing Company;China;NBeer Niubic Barrel Aged Beijing GOSE Modern;www.nbcraftbrewing.com;Belgian
WOOD- AND BARREL-AGED SOUR BEER;BRONZE;ROYAL SWINKELS;Belgium;RODENBACH Vintage 2022;www.swinkels.com;Belgian
ITALIAN GRAPE ALE;GOLD;Brewine Leopoldina;Brasil;Leopoldina Italian Grape Ale Riesling;www.brewineleopoldina.com.br;Other
ITALIAN GRAPE ALE;SILVER;Brewine Leopoldina;Brasil;Leopoldina Italian Grape Ale Gewurtraminer;www.brewineleopoldina.com.br;Other
ITALIAN GRAPE ALE;BRONZE;50&50;Italy;GRAZIELLA;www.50e50.beer;Other
BELGIAN-STYLE GEUZE;GOLD;Brouwerij Boon;Belgium;Oude Geuze Boon;www.boon.be;Belgian
